,id,created_at,full_text,cleaned_text
289,1256570859935932416,2020-05-02 13:06:53,"b'There is tremendous CoronaVirus testing capacity in Washington for the Senators returning to Capital Hill on Monday. Likewise the House, which should return but isn\xe2\x80\x99t because of Crazy Nancy P. The 5 minute Abbott Test will be used. Please inform Dr. Brian P. Monahan. @MarkMeadows'",there is tremendous coronavirus testing capacity in washington for the senators returning to capital hill on monday likewise the house which should return but isnt because of crazy nancy p the 0 minute abbott test will be used please inform dr brian p monahan 
329,1255352014042738688,2020-04-29 04:23:38,"b'The only reason the U.S. has reported one million cases of CoronaVirus is that our Testing is sooo much better than any other country in the World. Other countries are way behind us in Testing, and therefore show far fewer cases!'",the only reason the us has reported one million cases of coronavirus is that our testing is sooo much better than any other country in the world other countries are way behind us in testing and therefore show far fewer cases
359,1254174221481246721,2020-04-25 22:23:30,"b'I never said the pandemic was a Hoax! Who would say such a thing? I said that the Do Nothing Democrats, together with their Mainstream Media partners, are the Hoax. They have been called out &amp; embarrassed on this, even admitting they were wrong, but continue to spread the lie!'",i never said the pandemic was a hoax who would say such a thing i said that the do nothing democrats together with their mainstream media partners are the hoax they have been called out amp embarrassed on this even admitting they were wrong but continue to spread the lie
362,1254145835450933249,2020-04-25 20:30:42,"b'Was just informed that the Fake News from the Thursday White House Press Conference had me speaking &amp; asking questions of Dr. Deborah Birx. Wrong, I was speaking to our Laboratory expert, not Deborah, about sunlight etc. &amp; the CoronaVirus. The Lamestream Media is corrupt &amp; sick!'",was just informed that the fake news from the thursday white house press conference had me speaking amp asking questions of dr deborah birx wrong i was speaking to our laboratory expert not deborah about sunlight etc amp the coronavirus the lamestream media is corrupt amp sick
364,1254064154954076163,2020-04-25 15:06:08,"b'The Do Nothing Democrats are spending much of their money on Fake Ads. I never said that the CoronaVirus is a \xe2\x80\x9cHoax\xe2\x80\x9d, I said that the Democrats, and the way they lied about it, are a Hoax. Also, it did start with \xe2\x80\x9cone person from China\xe2\x80\x9d, and then grew, &amp; will be a \xe2\x80\x9cMiracle\xe2\x80\x9d end!'",the do nothing democrats are spending much of their money on fake ads i never said that the coronavirus is a choaxd i said that the democrats and the way they lied about it are a hoax also it did start with cone person from chinad and then grew amp will be a cmiracled end
375,1253700113383534598,2020-04-24 14:59:34,"b'Great conversation with President Lenin Moreno of the Republic of Ecuador. We will be sending them desperately needed Ventilators, of which we have recently manufactured many, and helping them in other ways. They are fighting hard against CoronaVirus!'",great conversation with president lenin moreno of the republic of ecuador we will be sending them desperately needed ventilators of which we have recently manufactured many and helping them in other ways they are fighting hard against coronavirus
383,1253679654734573570,2020-04-24 13:38:16,"b'Getting VERY good reviews of the job the Federal Government is doing on CoronaVirus. Ventilators, building hospitals, beds and yes, Testing, have been handled incredibly well. Testing is getting exponentially better every day. Love seeing our Country safely opening up!'",getting very good reviews of the job the federal government is doing on coronavirus ventilators building hospitals beds and yes testing have been handled incredibly well testing is getting exponentially better every day love seeing our country safely opening up
403,1253296736589807619,2020-04-23 12:16:41,b'Please study this closely. We saved many lives with our fast action on CoronaVirus! https://t.co/IKtkciXEEO',please study this closely we saved many lives with our fast action on coronavirus 
408,1252964659960971265,2020-04-22 14:17:08,b'CDC Director was totally misquoted by Fake News @CNN on Covid 19. He will be putting out a statement.',cdc director was totally misquoted by fake news on covid 0 he will be putting out a statement
415,1252912612821667840,2020-04-22 10:50:19,b'\xe2\x80\x9cEconomic impact of Covid-19.\xe2\x80\x9d @foxandfriends Very interesting analysis. Light at the end of the tunnel. Thank you!',ceconomic impact of covid0d very interesting analysis light at the end of the tunnel thank you
