id,created_at,full_text
1260905587912646656,2020-05-14 12:11:33,"b'The Great State of Wisconsin, home to Tom Tiffany\xe2\x80\x99s big Congressional Victory on Tuesday, was just given another win. Its Democrat Governor was forced by the courts to let the State Open. The people want to get on with their lives. The place is bustling!'"
1260735992727769096,2020-05-14 00:57:38,b'OBAMAGATE!'
1260735788133814272,2020-05-14 00:56:49,b'Proud of Mike! https://t.co/g1HvItV79N'
1260735521246019584,2020-05-14 00:55:46,b'First time in 22 years. Mike will be a GREAT CONGRESSMAN! https://t.co/rNzwwFkzSZ'
1260734981984354304,2020-05-14 00:53:37,b'Intel chief releases info on \xe2\x80\x98unmasking\xe2\x80\x99 of Flynn to Capitol Hill https://t.co/21wRsUboOf via @politico'
1260595662091100161,2020-05-13 15:40:01,"b'THANK YOU, WORKING HARD! #MAGA https://t.co/NytV20gopi'"
1260578860992737285,2020-05-13 14:33:15,"b'As I have said for a long time, dealing with China is a very expensive thing to do. We just made a great Trade Deal, the ink was barely dry, and the World was hit by the Plague from China. 100 Trade Deals wouldn\xe2\x80\x99t make up the difference - and all those innocent lives lost!'"
1260574760930545666,2020-05-13 14:16:58,"b'When the so-called \xe2\x80\x9crich guys\xe2\x80\x9d speak negatively about the market, you must always remember that some are betting big against it, and make a lot of money if it goes down. Then they go positive, get big publicity, and make it going up. They get you both ways. Barely legal?'"
1260562505845354497,2020-05-13 13:28:16,b'Obama was always wrong! https://t.co/xRU4kJtExs'
1260561967573602321,2020-05-13 13:26:07,b'Does anybody believe this man? Caught! https://t.co/WfnIqs6BsE'
1260559055988408321,2020-05-13 13:14:33,b'\xe2\x80\x9cNewly released documents show Schiff knew all along there was no proof of Russia-Trump collusion.\xe2\x80\x9d Wall Street Journal'
1260554985881964546,2020-05-13 12:58:23,"b'Big Congressional win in California for Mike Garcia, taking back a seat from the Democrats. This is the first time in many years that a California Dem seat has flipped back to a Republican. Also, Tom Tiffany beat his Democrat rival BIG in Wisconsin. Two great Congressional WINS!'"
1260412811840311296,2020-05-13 03:33:26,"b""Women for Trump co-chair: Biden might not be 'ultimate nominee,' and Dems engaging in 'elder abuse' https://t.co/Cn8akDaNzO"""
1260407831137828865,2020-05-13 03:13:38,b'Fake @PulitzerPrizes must be taken back. These \xe2\x80\x9cjournalists\xe2\x80\x9d got everything wrong. Give them to the real journalists who got it right! https://t.co/at2oRBwdOS'
1260406413102321670,2020-05-13 03:08:00,b'Shifty Schiff exposed! https://t.co/PmZ6uPc2LQ'
1260400362344906759,2020-05-13 02:43:58,"b'Big News: Tom Tiffany of the Great State of Wisconsin has just become Congressman Tom Tiffany. He will do a FANTASTIC job for the people of Wisconsin, and the United States. Congratulations!'"
1260206276216266754,2020-05-12 13:52:44,"b'As long as other countries are receiving the benefits of Negative Rates, the USA should also accept the \xe2\x80\x9cGIFT\xe2\x80\x9d. Big numbers!'"
1260203080076931072,2020-05-12 13:40:02,"b'California should let Tesla &amp; @elonmusk open the plant, NOW. It can be done Fast &amp; Safely!'"
1260199923968081920,2020-05-12 13:27:29,"b'Crude Oil prices going up as Saudi Arabia cuts production levels. Our great Energy Companies, with millions of JOBS, are starting to look very good again. At the same time, gasoline prices at record lows (like a big Tax Cut). The BEST of all Worlds. \xe2\x80\x9cTransition To Greatness\xe2\x80\x9d'"
1260185657395339266,2020-05-12 12:30:48,"b'Wisconsin, please get out NOW and vote for Tom Tiffany for Congress. A great guy!'"
